artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration
Avicii,Wake Me Up,0.783,0.532,-5.697,0.0038,0.0523,0.161,0.643,124.08,247427
"Matheus Fernandes, Dilsinho",Baby Me Atende,0.792,0.65,-3.825,0.607,0.0393,0.92,0.872,154.027,225672
Vegedream,Ramenez la coupe à la maison,0.66,0.808,-6.237,0.0358,0.0395,0.138,0.804,107.994,235556
Pop Smoke,What You Know Bout Love,0.548,0.709,-8.493,0.65,0.353,0.133,0.543,83.995,160000
AURORA,Runaway,0.277,0.521,-10.34,0.634,0.0356,0.103,0.13,115.01,248827
DaBaby,Red Light Green Light,0.656,0.933,-5.85,0.129,0.322,0.161,0.934,119.987,159083
DaBaby,Ball If I Want To,0.669,0.902,-5.049,0.161,0.457,0.0728,0.628,139.949,112547
Juice WRLD,Lucid Dreams,0.566,0.511,-7.23,0.349,0.2,0.34,0.218,83.903,239836
"Lil Tjay, 6LACK",Calling My Phone,0.393,0.907,-7.636,0.451,0.0539,0.135,0.202,104.949,205458
Ariana Grande,34+35, , , , , , , , , 
Billie Eilish,bad guy,0.425,0.701,-10.965,0.328,0.375,0.1,0.562,135.128,194088
"P!nk, Willow Sage Hart",Cover Me In Sunshine,0.594,0.476,-6.879,0.0599,0.135,0.0785,0.314,159.702,141050
Pop Smoke,For The Night (feat. Lil Baby & DaBaby),0.586,0.823,-6.606,0.114,0.2,0.193,0.347,125.971,190476
Olivia Rodrigo,"1 step forward, 3 steps back",0.203,0.473,-12.627,0.941,0.102,0.126,0.419,168.884,163587
Cardi B,WAP (feat. Megan Thee Stallion),0.454,0.935,-7.509,0.0194,0.375,0.0824,0.357,133.073,187541
The Killers,Mr. Brightside,0.924,0.356,-3.74,0.00101,0.0808,0.0953,0.232,148.017,222587
The Police,Every Breath You Take,0.452,0.82,-9.796,0.543,0.0348,0.0714,0.74,117.401,253920
Fleetwood Mac,Dreams - 2004 Remaster,0.492,0.828,-9.744,0.0644,0.0276,0.128,0.789,120.151,257800
