artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration
Zucchero,Baila Sexy Thing - new intl english no samples,0.79,0.685,-5.012,0.000897,0.0447,0.107,0.633,119.739,246.31
Lolita,Sarandonga,0.942,0.819,-4.72,0.038,0.167,0.324,0.94,104.583,240.2
Garbage,Cherry Lips (Go Baby Go!) - 2021 Remaster,0.4,0.894,-8.189,0.0843,0.0423,0.376,0.969,116.014,192.31
Malú,Toda,0.908,0.81,-4.905,0.126,0.04,0.141,0.873,97.983,202.8
James,Getting Away With It (All Messed Up),0.656,0.518,-6.446,0.000882,0.0267,0.32,0.15,135.388,265.0
Melon Diesel,Grita,0.817,0.641,-4.989,0.0116,0.0268,0.112,0.441,114.485,221.67
Coldplay,The Scientist,0.442,0.557,-7.224,0.731,0.0243,0.11,0.213,146.277,309.6
Amaral,Sin ti no soy nada,0.874,0.686,-3.92,0.0667,0.0512,0.129,0.563,122.099,268.71
El Canto Del Loco,Puede Ser (with Amaia Montero),0.591,0.412,-4.673,0.398,0.0346,0.119,0.344,188.376,181.03
Chayanne,Torero,0.967,0.7,-3.462,0.073,0.0463,0.333,0.962,136.045,217.43
Coldplay,Clocks,0.749,0.577,-7.215,0.599,0.0279,0.183,0.255,130.97,307.88
Aventura,Obsesion,0.56,0.804,-6.912,0.416,0.0397,0.0608,0.768,133.682,254.72
Chenoa,Cuando Tú Vas,0.837,0.7,-5.555,0.0844,0.217,0.628,0.665,136.035,198.13
Red Hot Chili Peppers,Can't Stop,0.938,0.618,-3.442,0.0179,0.0456,0.167,0.875,91.455,269.0
Jaime Urrutia,"¿Dónde estás? (feat. Bunbury, Andrés Calamaro y Loquillo)",0.752,0.666,-6.095,0.0512,0.0308,0.104,0.774,115.002,226.81
Avril Lavigne,Complicated,0.776,0.585,-5.898,0.0572,0.0459,0.3,0.427,77.987,244.51
Nelly,Dilemma,0.552,0.727,-8.074,0.227,0.14,0.198,0.607,168.189,289.16
t.A.T.u.,All The Things She Said,0.834,0.603,-5.766,0.0411,0.0417,0.105,0.376,89.957,214.44
Audioslave,Like a Stone,0.568,0.614,-5.477,0.00797,0.0276,0.0997,0.516,107.849,293.96
Vanessa Carlton,A Thousand Miles,0.825,0.56,-3.862,0.323,0.0379,0.161,0.268,94.931,237.49
3 Doors Down,Here Without You,0.533,0.557,-6.817,0.0492,0.0252,0.205,0.233,143.994,238.73
Norah Jones,Don't Know Why,0.219,0.745,-11.216,0.851,0.0276,0.0678,0.635,88.609,186.25
Sean Paul,Get Busy,0.824,0.735,-4.143,0.615,0.036,0.158,0.726,100.202,211.67
