artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration
Doja Cat,Kiss Me More (feat. SZA),0.701,0.762,-3.541,0.235,0.0286,0.123,0.742,110.968,208867
Camila Cabello,Don't Go Yet,0.796,0.666,-6.967,0.0492,0.103,0.0442,0.61,110.108,164842
Lil Nas X,MONTERO (Call Me By Your Name),0.508,0.61,-6.682,0.297,0.152,0.384,0.758,178.818,137876
Cat Burns,go,0.251,0.663,-9.87,0.88,0.0435,0.0932,0.528,90.272,215000
Latto,Big Energy (feat. DJ Khaled) - Remix,0.775,0.87,-3.703,0.0421,0.0865,0.14,0.792,106.001,181666
David Guetta,I'm Good (Blue),0.965,0.561,-3.673,0.00383,0.0343,0.371,0.304,128.04,175238
Tiësto,10:35,0.793,0.696,-5.733,0.0683,0.097,0.18,0.698,120.003,172253
Taylor Swift,Anti-Hero,0.643,0.637,-6.571,0.13,0.0519,0.142,0.533,97.008,200690
Lizzo,2 Be Loved (Am I Ready),0.769,0.721,-4.111,0.0922,0.105,0.0817,0.915,155.932,187108
Dua Lipa,Levitating,0.884,0.695,-2.278,0.0561,0.0753,0.213,0.914,103.014,203808
Oliver Tree,Miss You,0.742,0.587,-6.64,0.0128,0.0529,0.146,0.199,145.007,206000
Charlie Puth,Left and Right (Feat. Jung Kook of BTS),0.592,0.881,-4.898,0.619,0.0324,0.0901,0.719,101.058,154487
Sam Smith,Unholy (feat. Kim Petras),0.472,0.714,-7.375,0.013,0.0864,0.266,0.238,131.121,156943
Ava Max,Million Dollar Baby,0.858,0.667,-2.268,0.0367,0.0926,0.325,0.641,133.039,184295
Burna Boy,For My Hand (feat. Ed Sheeran),0.479,0.87,-7.779,0.161,0.165,0.209,0.717,104.059,159124
Ed Sheeran,Bad Habits,0.897,0.808,-3.712,0.0469,0.0348,0.364,0.591,126.026,231041
Joji,Die For You,0.518,0.472,-7.379,0.383,0.051,0.289,0.154,147.805,211667
Zach Bryan,Something in the Orange,0.192,0.369,-12.151,0.555,0.04,0.0954,0.148,175.212,228013
Alec Benjamin,Devil Doesn’t Bargain,0.606,0.448,-4.565,0.577,0.0609,0.217,0.483,121.15,163613
Charlie Puth,That's Hilarious,0.442,0.713,-5.909,0.739,0.0604,0.112,0.546,108.038,144934
Omar Apollo,Evergreen (You Didn’t Deserve Me At All),0.336,0.697,-10.395,0.598,0.0424,0.107,0.31,82.029,216680
Charli XCX,Beg For You (feat. Rina Sawayama),0.945,0.788,-5.091,0.223,0.0599,0.115,0.466,128.036,168053
Joel Corry,Lionheart (Fearless),0.967,0.628,-2.43,0.0217,0.0538,0.336,0.349,125.982,186689
Ava Max,Weapons,0.846,0.506,-3.705,0.0189,0.0497,0.0835,0.268,169.813,151592
Charlie Puth,Loser,0.623,0.698,-7.845,0.623,0.037,0.179,0.625,102.002,204376
Nathan Dawe,21 Reasons (feat. Ella Henderson),0.785,0.621,-4.499,0.0165,0.11,0.0512,0.779,123.96,155253
Eliza Rose,B.O.T.A. (Baddest Of Them All) - Edit,0.906,0.736,-7.589,0.164,0.048,0.106,0.698,137.001,226627
Don Toliver,Do It Right,0.515,0.662,-6.867,0.458,0.199,0.163,0.386,69.808,174474
Bruno Mars,After Last Night (with Thundercat & Bootsy Collins),0.703,0.651,-8.958,0.0297,0.0816,0.0608,0.647,140.051,249444
Burna Boy,Last Last,0.565,0.795,-4.457,0.131,0.0948,0.0802,0.55,87.925,172342
Bailey Zimmerman,Rock and A Hard Place,0.568,0.582,-7.3,0.577,0.0275,0.105,0.394,121.991,207541
Ed Sheeran,2step (feat. Lil Baby),0.643,0.693,-5.867,0.138,0.0828,0.108,0.477,95.055,163450
Anitta,Lobby,0.711,0.759,-5.199,0.0477,0.0384,0.143,0.436,111.902,157837
Paramore,This Is Why,0.737,0.723,-7.566,0.00435,0.0386,0.116,0.689,123.039,207652
Crash Adams,Give Me a Kiss,0.863,0.611,-4.969,0.0105,0.0346,0.255,0.837,141.044,169205
Galantis,Damn (You’ve Got Me Saying),0.843,0.665,-3.347,0.0654,0.0354,0.268,0.845,122.029,195268
Charlie Puth,Light Switch,0.627,0.689,-5.692,0.105,0.308,0.0905,0.905,184.008,187704
Megan Thee Stallion,Sweetest Pie,0.626,0.814,-7.187,0.173,0.214,0.101,0.686,123.972,201334
KSI,Not Over Yet (feat. Tom Grennan),0.775,0.501,-2.993,0.542,0.052,0.394,0.557,174.009,155692
Lil Uzi Vert,Just Wanna Rock,0.545,0.486,-7.924,0.0652,0.0336,0.0642,0.0385,150.187,123891
Ed Sheeran,Celestial,0.852,0.574,-1.248,0.0529,0.0397,0.161,0.501,123.038,209027
Fred again..,Delilah (pull me out of this),0.827,0.685,-7.745,0.138,0.224,0.374,0.586,133.93,250702
Diplo,Don't Forget My Love,0.875,0.638,-6.222,0.0239,0.0413,0.119,0.251,121.035,199091
Rihanna,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,0.299,0.247,-6.083,0.899,0.0315,0.131,0.172,177.115,196520
Ofenbach,4U,0.909,0.759,-4.388,0.212,0.0451,0.142,0.539,122.871,149717
Jack Harlow,First Class,0.563,0.905,-6.135,0.0254,0.102,0.113,0.324,106.998,173948
Nathan Dawe,Sweet Lies,0.866,0.717,-4.74,0.189,0.0434,0.064,0.787,130.053,121860
Ava Max,My Head & My Heart,0.934,0.614,-3.709,0.0697,0.07,0.121,0.436,116.001,174760
Anne-Marie,PSYCHO,0.681,0.62,-4.915,0.0138,0.356,0.0248,0.741,160.743,162493
Fred again..,Turn On The Lights again.. (feat. Future),0.887,0.683,-4.944,0.0125,0.0497,0.318,0.551,132.007,267947
David Guetta,Crazy What Love Can Do,0.713,0.601,-3.758,0.0282,0.0449,0.158,0.464,122.872,169756
Charli XCX,Used To Know Me,0.931,0.711,-4.042,0.0914,0.0323,0.0892,0.775,118.009,145840
