artist_name,track_name,energy,danceability,loudness,acousticness,speechiness,liveness,valence,tempo,duration,top_hit
Smoov-E,Mi Amante,0.627,0.706,-7.522,0.0777,0.0389,0.0717,0.873,138.667,127.85,0
Carrie Newcomer,I Believe - Live,0.317,0.472,-11.578,0.824,0.0463,0.702,0.345,77.505,285.13,0
GC Classics,Flow,0.245,0.74,-13.892,0.000715,0.415,0.0963,0.415,155.961,200.05,0
Nick Howard,Don't Wanna Go Home,0.914,0.791,-4.53,0.0965,0.0507,0.193,0.958,144.031,181.55,0
Ocean Sounds,Ocean Sounds To Help You Sleep,0.942,0.139,-30.76,0.691,0.0468,0.655,1e-05,102.373,89.16,0
Natassha Reendo,Los Mas Duros,0.521,0.869,-5.506,0.895,0.0543,0.158,0.821,130.038,155.17,0
Alei Islah,Poppin,0.604,0.858,-6.819,0.1,0.437,0.209,0.769,88.902,161.47,0
Native American Flute,Peaceful Rest,0.032,0.39,-30.625,0.977,0.0663,0.086,0.111,103.831,76.57,0
Carlos Y Jose,José Silva Sánchez,0.362,0.61,-7.07,0.761,0.0803,0.0322,0.888,184.673,185.2,0
Danny Damian,Endlessly,0.433,0.714,-15.607,0.0161,0.0492,0.286,0.441,129.162,237.83,0
Plap Fieldz,Living By The Code,0.614,0.603,-9.486,0.015,0.243,0.42,0.564,151.522,173.43,0
Zack Taylaaa,Move,0.527,0.574,-13.856,0.0274,0.49,0.313,0.49,186.059,141.61,0
The Phillips Family,Next of Kin,0.882,0.756,-4.816,0.349,0.0486,0.178,0.868,108.867,119.89,0
Vincent Wilson,Call on Jesus (feat. Pastor Shawn Jones),0.763,0.521,-6.299,0.114,0.0905,0.343,0.577,120.284,281.1,0
Plap Fieldz,Got Me Lit,0.464,0.769,-11.799,0.0396,0.484,0.223,0.831,75.946,223.14,0
Island Music Classics,Sultry Ambiance for Relaxing Holidays,0.565,0.752,-14.847,0.348,0.0327,0.091,0.879,105.971,154.0,0
AiA LITT,Doctor Evil,0.449,0.693,-15.366,0.0187,0.784,0.148,0.764,109.71,150.62,0
Nick Villarreal,Mi Paulita,0.717,0.588,-3.27,0.439,0.0716,0.329,0.972,97.958,161.48,0
MixxGod,Kill 'Em All,0.675,0.706,-7.204,0.151,0.0323,0.094,0.467,123.973,178.06,0
Dr. Dreamz,XMan,0.669,0.731,-5.944,0.632,0.146,0.0728,0.965,158.006,145.19,0
La Clave Con Swing,Lo Siento,0.524,0.771,-9.148,0.504,0.0614,0.123,0.9,147.04,338.1,0
The Grates,Kang Kong,0.93,0.766,-5.79,0.0343,0.0747,0.495,0.359,120.0,200.23,0
Mighty Clouds Of Joy,"I'll Go, Pt. 2 - Single Version",0.538,0.412,-13.239,0.271,0.0329,0.353,0.659,97.939,182.04,0
Lightshow,Paul Pierce,0.811,0.877,-6.547,0.128,0.224,0.83,0.927,134.014,209.01,0
Monoswezi,Nhetembo,0.418,0.661,-15.627,0.901,0.0569,0.107,0.188,132.333,204.51,0
Mariachi Vargas De Tecalitlán,Amor... Y Mas Amor,0.761,0.325,-2.642,0.694,0.0474,0.269,0.556,101.283,478.55,0
Sean Brook,Think I Remember He,0.121,0.556,-21.021,0.828,0.0497,0.0949,0.366,191.877,195.0,0
Eagle Brook Music,Shine for You,0.677,0.571,-6.324,0.013,0.0432,0.111,0.176,125.044,236.57,0
Wagner Linan,Attract Their Attention,0.273,0.781,-20.222,0.735,0.0338,0.114,0.657,95.011,204.63,0
Mike Powell,The Two Doors Of Heaven,0.144,0.453,-12.066,0.877,0.055,0.137,0.126,71.237,314.04,0
The Piedmont Boys,Gypsy Soul,0.242,0.414,-8.753,0.653,0.0295,0.11,0.22,130.038,235.28,0
Stephen Ashbrook,One Good Man,0.325,0.56,-11.433,0.767,0.0278,0.0887,0.357,98.537,207.89,0
The Modest Pleasures,Lurking,0.474,0.149,-15.771,0.317,0.0496,0.499,0.0367,70.251,80.81,0
Toddler Songs Kids,Distant Wish,0.317,0.235,-18.275,0.781,0.0992,0.831,0.037,174.608,211.87,0
Indigo Oceanic Waves Music Project,Red Wings,0.643,0.17,-18.691,0.192,0.156,0.326,0.0811,100.275,118.0,0
279tyler,No Options,0.454,0.422,-12.732,0.0961,0.341,0.101,0.268,154.581,170.27,0
Rare Essence,Goodie Mob,0.823,0.615,-4.114,0.213,0.24,0.643,0.68,171.182,268.28,0
slimdadon,Say A Prayer,0.675,0.628,-5.267,0.384,0.419,0.119,0.65,123.247,305.92,0
Los Ilegales del Bravo,LA LLEGUA CEBRUNA,0.42,0.937,-13.168,0.545,0.0582,0.191,0.931,111.55,211.9,0
Brett Vogel,Apple,0.733,0.453,-4.436,0.00591,0.0328,0.138,0.166,139.932,203.44,0
ShakeSumGeez,Lets Go 4(Freestyle),0.444,0.673,-16.394,0.0233,0.423,0.388,0.388,151.026,171.26,0
Star Sky Streaming Music by Frank,Peacekeeper,0.435,0.853,-15.906,0.172,0.0998,0.0775,0.0998,119.96,149.5,0
John Van Ness,Fly Gently,0.506,0.54,-7.449,0.653,0.0315,0.18,0.423,72.945,145.64,0
